0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
2268,"CUMBARJUA CANAL
CORLIM(DISCHARGE POINT
OF SYNGENTA LIMITED)",CANAL,GOA,26,31,4.2,,6.2,,5.2,8.5,83,44510,BDL,0.8,0.02,,1.08,,45,2400,490,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,"NARMADA MAIN CANAL,
NR. VILLAGE. LIMBADIA,
DIST. GANDHINAGAR.",CANAL,GUJARAT,25,30,6.8,,7.8,,7.4,8.2,239,360,0.5,1.1,0.03,,0.16,,,,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074,"TAPI CANAL AT VILLAGE
UMARWADA, NEAR GIDC
ESTATE OF PANOLI.",CANAL,GUJARAT,28,32,5.7,,7.2,,7.3,8.8,272,737,0.4,0.8,0.09,,0.77,,14,33,49,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4421,"FROM NARMADA MAIN
CANAL AT
INDORAHMEDABAD
HIGHWAY BRIDGE NEAR
VILLAGE MOTIKANTADI
TAL, GODHRA, DIST
PANCHMAHAL",CANAL,GUJARAT,25,33,7.8,,8.3,,7.4,8.3,253,336,0.3,0.4,0.40,,0.54,,2,2,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,"WESTERN YAMUNA CANAL
WC-1(Y.NAGAR)100M D/S
AFTER RECEIVING
IND.&SEW.EFFL",CANAL,HARYANA,19,27,4.6,,8.0,,7.0,8.1,135,2230,1.8,4.0,0.01,,2.80,,500,4000,1500,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,"WESTERN YAMUNA CANAL
WC-2 (NEAR KARNA
LAKE)G.T.ROAD KARNAL",CANAL,HARYANA,26,26,5.9,,7.0,,7.6,7.8,189,296,2.4,2.6,0.02,,0.09,,700,4800,1500,54200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,"WESTERN YAMUNA CANAL
C-3 DELHI BRANCH AT
R.D.245250",CANAL,HARYANA,19,29,3.7,,9.3,,6.8,8.0,146,345,1.2,2.4,0.01,,0.18,,400,3300,1300,21200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,"WESTERN YAMUNA CANAL
C-4 BEFORE ENTER INTO
DELHI BRANCH,
R.D.282628",CANAL,HARYANA,21,29,1.5,,7.8,,7.4,7.9,151,2370,1.2,2.8,0.02,,0.30,,200,1700,900,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,"WESTERN YAMUNA CANAL
WC-5 SIRSA BRANCH AT
ROAD BRIDGE, KARNAL",CANAL,HARYANA,25,25,6.6,,7.3,,7.6,7.6,222,410,1.2,2.5,0.04,,0.09,,1700,1700,14800,17200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,"WESTERN YAMUNA CANAL
WC-6 SIRSA BRANCH AT
RD.BRIDGE JIND KAITHAL
ROAD",CANAL,HARYANA,21,23,3.2,,8.2,,7.2,8.6,250,1180,2.4,24.0,0.12,,4.20,,2,3910,2210,351000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,"WESTERN YAMUNA CANAL
C-7 DELHI PARALLEL
BRANCH AT KHUBRU FALL
RD-145250",CANAL,HARYANA,20,29,1.6,,7.6,,7.5,7.9,140,2390,1.5,2.6,0.02,,0.62,,400,9200,1400,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,"WESTERN YAMUNA CANAL
WC-4 DELHI PARALLEL
BRANCH AT PANIPAT",CANAL,HARYANA,14,30,5.4,,10.1,,7.4,8.0,183,2350,0.8,2.6,0.05,,3.50,,25,21000,540,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419,"GURGAON CANAL, GC-1,
(NEAR BADARPUR
BORDER)",CANAL,HARYANA,,,2.6,,3.9,,7.0,8.3,1010,1320,18.0,32.0,3.60,,5.40,,3560,3970,32110,340620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,"WESTERN YAMUNA CANAL
AT TAJEWALA",CANAL,HARYANA,20,27,5.6,,9.8,,7.6,8.1,141,2150,0.6,3.5,0.01,,1.86,,200,13000,1400,49000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2056,"WESTERN YAMUNA CANAL
AT DAMLA D/S OF
YAMUNA NAGAR",CANAL,HARYANA,24,26,6.8,,8.6,,7.6,8.0,186,295,1.5,3.5,0.03,,0.07,,200,1400,1400,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461,"KANOLI CANAL AT
ERANJIKKAL, KAZHEKODE",CANAL,KERALA,24,32,3.2,,7.5,,6.6,7.7,195,43100,0.2,2.1,0.10,,1.18,,100,4900,200,7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3467,"UNTHITHODU AT ELOOR,
ERNAKULAM",CANAL,KERALA,25,32,1.5,,4.8,,6.5,7.3,319,30000,1.0,3.6,0.03,,3.01,,2600,70000,5400,110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3469,"PALAKKATTUTHAZHA-
MTHODU AT
PERUMBAVOOR,
ERNAKULAM",CANAL,KERALA,25,29,2.6,,7.3,,6.5,7.6,58,145,1.1,3.5,0.17,,2.83,,1500,6300,3500,8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,MORAMBAMARINE CANAL,CANAL,MANIPUR,16,28,6.7,,7.8,,6.6,7.6,110,374,2.3,3.7,26.00,,30.00,,5,35,15,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2428,"TALADANDA CANAL AT
JOBRA( ORIGIN OF
TALADANDA CANAL)",CANAL,ODISHA,24,28,6.8,,7.7,,7.1,7.3,151,192,0.8,3.8,0.19,,0.38,,700,4900,3500,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,"TALADANDA CANAL AT
NAUBAZAR, CUTTACK CITY",CANAL,ODISHA,25,28,6.4,,7.4,,6.7,7.7,131,192,0.6,3.4,0.18,,0.78,,1700,92000,2800,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,"TALADANDA CANAL AT
ATHARABANKI(WATER
INTAKE POINT OF PPL,
IFFCO & PPT)",CANAL,ODISHA,22,33,0.4,,8.4,,7.0,8.2,147,297,0.3,5.6,0.11,,0.90,,140,7900,330,17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3950,"TALADANDA CANAL AT
RANIHAT",CANAL,ODISHA,26,28,7.2,,7.6,,7.2,7.5,131,191,1.5,3.7,0.23,,0.36,,1700,22000,4300,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3951,"TALADANDA CANAL AT
CHHATRABAZAR",CANAL,ODISHA,24,27,5.4,,7.8,,6.8,7.7,142,193,1.3,4.7,0.22,,0.89,,1700,35000,4900,92000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3952,"TALADANDA CANAL AT
BIRIBATI",CANAL,ODISHA,24,28,6.2,,7.6,,7.4,7.8,134,176,1.0,2.3,0.23,,0.53,,490,17000,1100,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3958,PURI CANAL AT HANSAPAL,CANAL,ODISHA,23,32,6.2,,11.8,,7.0,8.4,172,296,0.6,1.8,0.12,,2.25,,78,2200,220,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3959,"PURI CANAL AT
JAGANNATHPUR",CANAL,ODISHA,23,34,5.5,,9.3,,7.3,8.3,137,280,0.6,2.4,0.11,,0.27,,170,2400,460,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3960,"PURI CANAL AT
CHANDANPUR",CANAL,ODISHA,20,29,3.1,,7.6,,6.5,8.4,142,448,0.6,2.8,0.16,,6.51,,45,1700,230,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2932,"NARMADA MAIN CANAL
(BEFORE ENTERING IN
RAJASTHAN STATE), TEHSIL
SANCHORE, JALORE,
RAJASTHAN",CANAL,RAJASTHAN,22,26,4.7,,5.6,,8.0,8.6,260,400,0.6,1.6,1.82,,3.32,,7,23,21,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2933,"GANG CANAL AT KHAKKA
HEAR NEAR HINDUMAL
KOT, GANGANAGAR,
RAJASTHAN",CANAL,RAJASTHAN,16,32,4.6,,6.8,,7.8,8.2,210,400,0.9,2.2,1.66,,2.74,,14,75,75,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2934,"MASITAWALA HEAD
HANUMANGARH",CANAL,RAJASTHAN,16,31,3.9,,6.5,,7.6,8.1,250,590,0.9,3.0,1.76,,2.74,,11,75,28,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4773,"INDIRA GANDHI FEEDER AT
RAJASTHAN BORDER,
TEHSIL- TIBI,",CANAL,RAJASTHAN,15,31,3.9,,6.0,,7.6,8.2,250,440,0.9,2.4,1.60,,2.21,,9,39,28,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30022,"INDIRA GANDHI CANAL AT
SIRSA HANUMANGARH
(RAJASTHAN)",CANAL,RAJASTHAN,,,5.4,,5.9,,7.1,7.7,294,303,1.5,3.4,1.12,,1.33,,3600,23000,8200,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10049,"CHENNAI WATERWAYS AT
CAPTAIN COTTON CANAL
(ERUKANJERI)",CANAL,TAMIL NADU,28,28,,,,,7.6,7.6,2490,2490,17.0,17.0,3.20,,3.20,,2,2,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,"CHENNAI WATERWAYS AT
CC X BC CONFLUENCE
(KODUNGAIYUR)",CANAL,TAMIL NADU,26,26,,,,,7.2,7.2,5550,5550,20.0,20.0,3.40,,3.40,,45,45,790,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10052,"CHENNAI WATERWAYS AT
BUCKINGHAM CANAL
(TIDAL PARK)",CANAL,TAMIL NADU,28,34,3.0,,3.0,,7.2,7.3,2330,2870,8.0,26.0,1.00,,3.05,,2,700,68,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,"KATAKHAL CANAL AT
NEAR PRAGATI
VIDYABHAWAN,
AGARTALA, TRIPURA",CANAL,TRIPURA,21,28,4.1,,6.9,,6.2,7.6,208,288,6.4,38.0,0.39,,5.73,,220,350,430,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,"GILATALI CANAL, WEST
TRIPURA",CANAL,TRIPURA,21,28,5.8,,7.0,,6.7,7.6,105,184,0.8,2.8,0.26,,2.20,,70,150,150,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,"PALATANA CANAL AT D/S
OF POLLUTION OUTFALL,
SOUTH TRIPURA",CANAL,TRIPURA,22,29,5.7,,7.2,,6.9,7.8,110,182,0.9,2.7,0.22,,2.80,,46,120,110,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3389,"GHANDHA CHARRA CANAL
AT DOMBURNAGAR,
DHALAI",CANAL,TRIPURA,20,28,5.5,,7.4,,6.6,7.7,111,197,0.9,3.5,0.30,,3.05,,58,150,110,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3390,"SAMANU CHARRA CANAL
AT CHAWMANU, DHALAI",CANAL,TRIPURA,20,27,5.5,,7.0,,6.4,7.3,114,169,0.8,3.5,0.21,,2.25,,58,150,110,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4198,CHANDRAPUR CANAL,CANAL,TRIPURA,22,28,6.1,,6.9,,6.8,7.5,105,184,0.8,2.6,0.30,,3.34,,41,130,120,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,"KATAKHAL CANAL AT
KALIKAPUR",CANAL,TRIPURA,22,28,4.2,,7.8,,6.5,7.8,110,202,2.6,24.0,0.43,,6.64,,22,350,350,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726,"UPPER GANGA CANAL D/S
HARIKIPAURI, HARIDWAR",CANAL,UTTARAKHAND,16,20,9.0,,10.8,,7.5,8.4,127,140,1.0,1.0,,,,,30,60,70,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,"UPPER GANGA CANAL D/S
ROORKEE, HARIDWAR",CANAL,UTTARAKHAND,16,20,8.6,,10.0,,7.4,8.3,128,143,1.0,1.2,,,,,40,90,110,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3998,"UPPER GANGA CANAL AT
LAL TA RAO BRIDGE,
HARIDWAR",CANAL,UTTARAKHAND,17,20,9.0,,10.0,,7.6,8.4,119,140,1.0,1.0,,,,,23,70,50,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3999,"UPPER GANGA CANAL AT
DAM KOTHI, HARIDWAR",CANAL,UTTARAKHAND,16,21,8.6,,11.0,,7.6,8.2,117,138,1.0,1.0,,,,,30,50,50,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,"NOAI CANAL NORTH 24
PARGANAS, NEAR GANGA
NAGAR MOTIBRIDGE",CANAL,WEST BENGAL,20,32,0.8,,0.9,,7.2,8.1,412,1918,4.8,17.0,0.09,,0.91,,40000,9000000,80000,16000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513,"KHARDA CANAL NORTH 24
PARGANAS, NEAR
JAYSHREE CHEMICAL
INDUSTRY",CANAL,WEST BENGAL,21,32,,,,,7.3,7.6,617,869,17.9,93.6,0.10,,0.78,,1300000,50000000,2100000,90000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4013,TIRACOL BEACH,COASTAL,GOA,27,32,5.9,,6.9,,6.6,8.0,27750,58010,BDL,2.3,BDL,,0.55,,8,1300,23,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4014,MIRAMAR BEACH,COASTAL,GOA,26,32,5.8,,7.7,,6.3,8.3,2037,57350,BDL,2.8,0.09,,1.70,,13,1300,33,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4015,CALANGUTE BEACH,COASTAL,GOA,27,32,5.8,,6.7,,6.1,8.2,4520,55860,BDL,0.7,BDL,,1.13,,8,490,BDL,17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4016,MORJIM BEACH,COASTAL,GOA,27,37,5.8,,7.0,,7.2,8.2,17550,56840,BDL,2.7,BDL,,0.62,,8,1300,33,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4017,MOBOR BEACH,COASTAL,GOA,27,32,5.5,,6.9,,7.3,8.2,33546,54980,BDL,2.5,BDL,,0.32,,8,1100,23,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4018,BAINA BEACH,COASTAL,GOA,28,32,4.2,,6.9,,7.3,8.2,26870,68180,BDL,3.3,0.01,,0.64,,33,540,110,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4019,GALGIBAG BEACH,COASTAL,GOA,27,32,5.2,,7.3,,6.4,8.1,50,58130,BDL,2.9,BDL,,0.44,,8,5400,23,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4020,COLVA BEACH,COASTAL,GOA,27,32,5.3,,6.9,,7.4,8.2,31870,85160,BDL,3.3,0.02,,0.62,,33,1100,79,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4021,VAGATOR BEACH,COASTAL,GOA,27,32,5.6,,7.3,,6.2,8.1,13370,60310,BDL,2.8,BDL,,0.61,,5,790,13,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4022,VELSAO BEACH,COASTAL,GOA,28,32,5.9,,7.0,,7.4,8.1,32490,55980,BDL,4.6,0.01,,0.51,,5,790,23,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2267,"CREEK AT DANDO MOLLO,
VELSAO, MAMUGAO",CREEK,GOA,27,35,4.8,,16.0,,6.4,8.3,160,19710,BDL,2.8,0.22,,20.65,,230,4900,490,7900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,"MASMA KHADI- OLPAD-
SARAS ROAD",CREEK,GUJARAT,26,30,5.0,,7.1,,7.3,7.9,865,24820,0.9,2.0,0.04,,0.36,,8,33,26,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2081,"AMLAKHADI CREEK AT
PUNGAM.",CREEK,GUJARAT,28,33,BDL,,4.7,,7.0,8.1,755,3250,2.0,31.0,0.19,,0.73,,33,79,140,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3196,"VANDKHADI AT VILLAGE
UMARWADA, TA
ANKLESHWAR, BHARUCH",CREEK,GUJARAT,28,32,BDL,,6.5,,6.7,7.7,688,4640,0.7,23.0,0.13,,1.72,,49,170,170,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,"BASSEIN CREEK AT
VASAIFORT AT BASSEIN ,
VASAI,THANE",CREEK,MAHARASHTRA,24,41,3.7,,7.4,,6.9,7.8,83,60580,3.0,14.0,0.20,,4.70,,21,79,79,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,"THANE CREEK AT
ELEPHANTA ISLAND,
ELEPHANTA, MUMBAI",CREEK,MAHARASHTRA,25,32,3.0,,5.2,,6.7,7.6,8212,65500,8.0,20.0,0.80,,2.20,,70,920,210,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,"MAHIM CREEK AT MAHIM
BAY, MAHIM, MUMBAI",CREEK,MAHARASHTRA,25,34,BDL,,5.5,,6.8,7.8,415,59980,6.0,50.0,0.50,,6.40,,23,920,170,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2184,"VASHI CREEK AT AIROLI
BRIDGE,AIROLI, THANE",CREEK,MAHARASHTRA,23,32,3.6,,7.3,,6.8,7.8,184,43360,3.0,13.0,0.60,,3.40,,21,110,170,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2185,"VASHI CREEK AT VASHI
BRIDGE, VASHI,THANE",CREEK,MAHARASHTRA,20,29,3.2,,6.8,,6.6,7.8,418,57400,4.0,20.0,1.20,,3.70,,23,110,210,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791,"ULHAS CREEK AT RETI
BUNDER, D/S OF KALYAN-
BHIWANDI BRIDGE,
KALYAN,KALYAN, THANE",CREEK,MAHARASHTRA,24,36,3.5,,7.3,,6.5,7.8,136,16470,3.0,15.0,0.30,,3.20,,2,110,9,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792,"ULHAS CREEK AT MUMBRA
RETI BUNDER, VILLAGE
MUMBRA, THANE",CREEK,MAHARASHTRA,24,32,3.3,,5.6,,6.3,8.0,165,34280,5.0,16.0,0.70,,7.40,,21,170,150,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793,"THANE CREEK AT KALWA
ROAD BRIDGE, KALWA,
THANE",CREEK,MAHARASHTRA,24,32,3.3,,6.6,,6.5,8.0,156,34360,4.0,15.0,0.20,,7.40,,11,84,46,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794,"ULHAS CREEK AT KOLSHET
RETI BUNDER, KOLSHET,
THANE",CREEK,MAHARASHTRA,24,32,3.5,,6.8,,6.5,8.1,142,34400,4.0,14.0,0.60,,6.60,,11,70,47,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
